id,titulo,nombre,rating
10,The Case of Lucky Legs,Accion,6.0
15,Dragonquest,Accion,9.0
16,North Face,Accion,10.0
18,Chu Chin Chow,Accion,6.0
19,Cannibal Holocaust,Accion,4.0
26,In the Cut,Accion,5.0
28,The Coven,Accion,1.0
30,Sometimes They Come Back,Accion,2.0
31,Floundering,Accion,9.0
32,Chance of a Lifetime,Accion,2.0
34,Yonkers Joe,Accion,4.0
36,Questioning Darwin,Accion,6.0
38,Battlestar Galactica,Accion,1.0
42,Experiment in Terror,Accion,9.0
47,Raiders of the Lost Ark,Accion,9.0
49,Horrible Bosses 2,Accion,3.0
52,That Touch of Mink,Accion,4.0
61,Wednesday,Accion,5.0
64,Ugly Truth,Accion,8.0
68,Mountaintop Motel Massacre,Accion,4.0
71,Dr. Jack,Accion,8.0
80,Surfs Up,Accion,3.0
82,Rogue Cop,Accion,10.0
93,Ordinary Decent Criminal,Accion,8.0
94,Eerie Tales,Accion,6.0
96,Way We Laughed,Accion,5.0
