id,titulo,nombre,rating
1,Docks of New York,Drama,8.0
2,Generals Daughter,Drama,9.0
3,Angry Silence,Drama,8.0
4,Day After Trinity,Drama,5.0
5,Disneyland Dream,Drama,1.0
8,How to Survive a Plague,Drama,2.0
9,The Man From The Alamo,Drama,7.0
24,Tic Code,Drama,7.0
27,Telefon,Drama,9.0
33,The Snow White Murder Case,Drama,4.0
41,Brute The Bruto,Drama,3.0
53,47 Ronin,Drama,8.0
54,Heartlands,Drama,5.0
59,1969,Drama,4.0
62,Dawn Rider,Drama,8.0
63,Invaders from Mars,Drama,9.0
65,10 000 timmar,Drama,9.0
66,My Sassy Girl,Drama,8.0
67,Mystery Science Theater 3000,Drama,9.0
69,My Favorite Martian,Drama,2.0
76,North to Alaska,Drama,7.0
78,Dark Horse,Drama,6.0
81,Carbon Copy,Drama,4.0
84,Greatest Show on Earth,Drama,6.0
87,Je appelle Elisabeth,Drama,5.0
95,Cloverfield,Drama,6.0
