id,titulo,nombre,rating
1,Docks of New York,Accion,5.0
2,Generals Daughter,Accion,3.0
3,Angry Silence,Comedia,3.0
4,Day After Trinity,Terror,6.0
5,Disneyland Dream,Comedia,10.0
6,Eenfance naked Childhood,Comedia,8.0
7,Who Is John Galt,Terror,5.0
8,How to Survive a Plague,Accion,1.0
9,The Man From The Alamo,Accion,1.0
10,The Case of Lucky Legs,Accion,5.0
11,Musketeer,Comedia,6.0
12,Romantic Comedy,Accion,9.0
13,Fall From Grace,Comedia,6.0
14,Casshern,Terror,7.0
15,Dragonquest,Accion,6.0
16,North Face,Comedia,8.0
17,Satans Tango ,Terror,10.0
18,Chu Chin Chow,Terror,3.0
19,Cannibal Holocaust,Accion,2.0
20,Boy Meets Boy,Terror,8.0
21,Sgt Kabukiman,Terror,4.0
22,Naked in New York,Terror,7.0
23,American Winter,Drama,4.0
24,Tic Code,Comedia,3.0
25,Kick Ass,Drama,9.0
26,In the Cut,Terror,10.0
27,Telefon,Accion,3.0
28,The Coven,Comedia,4.0
29,Dirty Work,Drama,5.0
30,Sometimes They Come Back,Comedia,5.0
31,Floundering,Drama,6.0
32,Chance of a Lifetime,Drama,1.0
33,The Snow White Murder Case,Comedia,1.0
34,Yonkers Joe,Comedia,2.0
35,With Love,Terror,9.0
36,Questioning Darwin,Comedia,10.0
37,Designing Woman,Accion,6.0
38,Battlestar Galactica,Comedia,10.0
39,Bone Collector,Drama,1.0
40,Saturday Night Fever,Drama,2.0
41,Brute The Bruto,Drama,8.0
42,Experiment in Terror,Drama,7.0
43,At the Earths Core,Drama,7.0
44,Summer in Berlin,Comedia,5.0
45,Presidents Man,Accion,7.0
46,36 Quai des Orfevres,Comedia,1.0
47,Raiders of the Lost Ark,Comedia,10.0
48,Taxi 4,Accion,8.0
49,Horrible Bosses 2,Comedia,5.0
50,Jill the Ripper,Comedia,10.0
51,Robot Carnival,Accion,3.0
52,That Touch of Mink,Accion,1.0
53,47 Ronin,Drama,1.0
54,Heartlands,Comedia,4.0
55,Divorcee,Terror,3.0
56,Minions,Drama,7.0
57,Dragon Ball Z,Terror,1.0
58,Link,Comedia,10.0
59,1969,Drama,2.0
60,Flying Down to Rio,Terror,5.0
61,Wednesday,Comedia,6.0
62,Dawn Rider,Accion,1.0
63,Invaders from Mars,Terror,3.0
64,Ugly Truth,Terror,10.0
65,10 000 timmar,Drama,7.0
66,My Sassy Girl,Drama,4.0
67,Mystery Science Theater 3000,Drama,4.0
68,Mountaintop Motel Massacre,Drama,9.0
69,My Favorite Martian,Drama,9.0
70,Pirates Who Dont Do Anything,Drama,1.0
71,Dr. Jack,Drama,2.0
72,5 Deadly Venoms,Comedia,2.0
73,Deep Rising,Comedia,3.0
74,In America,Terror,9.0
75,Big Mommas Like Father,Terror,3.0
76,North to Alaska,Drama,4.0
77,Doubt,Comedia,8.0
78,Dark Horse,Terror,9.0
79,Kanine,Accion,9.0
80,Surfs Up,Drama,5.0
81,Carbon Copy,Terror,4.0
82,Rogue Cop,Drama,7.0
83,Dodge City,Comedia,10.0
84,Greatest Show on Earth,Terror,2.0
85,Quicksilver Highway,Comedia,10.0
86,Creepshow 2,Comedia,3.0
87,Je appelle Elisabeth,Accion,1.0
88,200 MPH,Comedia,10.0
89,Phantom,Terror,6.0
90,Cheech and Chong,Comedia,7.0
91,Take Me Out to the Ball Game,Accion,3.0
92,Silent House,Drama,7.0
93,Ordinary Decent Criminal,Comedia,5.0
94,Eerie Tales,Accion,5.0
95,Cloverfield,Drama,3.0
96,Way We Laughed,Comedia,10.0
97,Vie en Rose,Terror,1.0
98,Best Defense,Drama,6.0
99,Jimmy Rosenberg,Terror,1.0
100,You Kill Me,Drama,9.0
