id,titulo,nombre,rating
6,Eenfance naked Childhood,Comedia,6.0
11,Musketeer,Comedia,1.0
12,Romantic Comedy,Comedia,3.0
17,Satans Tango ,Comedia,7.0
21,Sgt Kabukiman,Comedia,9.0
22,Naked in New York,Comedia,1.0
29,Dirty Work,Comedia,3.0
37,Designing Woman,Comedia,10.0
39,Bone Collector,Comedia,1.0
40,Saturday Night Fever,Comedia,8.0
45,Presidents Man,Comedia,1.0
46,36 Quai des Orfevres,Comedia,3.0
51,Robot Carnival,Comedia,9.0
55,Divorcee,Comedia,9.0
56,Minions,Comedia,10.0
57,Dragon Ball Z,Comedia,5.0
70,Pirates Who Dont Do Anything,Comedia,7.0
72,5 Deadly Venoms,Comedia,9.0
74,In America,Comedia,8.0
85,Quicksilver Highway,Comedia,9.0
86,Creepshow 2,Comedia,1.0
88,200 MPH,Comedia,2.0
91,Take Me Out to the Ball Game,Comedia,2.0
97,Vie en Rose,Comedia,3.0
98,Best Defense,Comedia,10.0
99,Jimmy Rosenberg,Comedia,6.0
