id,titulo,nombre,rating
7,Who Is John Galt,Terror,4.0
13,Fall From Grace,Terror,3.0
14,Casshern,Terror,2.0
20,Boy Meets Boy,Terror,6.0
23,American Winter,Terror,10.0
25,Kick Ass,Terror,1.0
35,With Love,Terror,10.0
43,At the Earths Core,Terror,5.0
44,Summer in Berlin,Terror,5.0
48,Taxi 4,Terror,1.0
50,Jill the Ripper,Terror,5.0
58,Link,Terror,6.0
60,Flying Down to Rio,Terror,3.0
73,Deep Rising,Terror,5.0
75,Big Mommas Like Father,Terror,9.0
77,Doubt,Terror,6.0
79,Kanine,Terror,5.0
83,Dodge City,Terror,2.0
89,Phantom,Terror,7.0
90,Cheech and Chong,Terror,6.0
92,Silent House,Terror,10.0
100,You Kill Me,Terror,9.0
